name;img_local_url;store
Сыр Фетакса без рассола 45% БЗМЖ 200г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Фетакса без рассола 45% БЗМЖ 200г.jpeg;Пятерочка
Сыр Hochland Сливочный творожный 60% БЗМЖ 220г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Hochland Сливочный творожный 60% БЗМЖ 220г.jpeg;Пятерочка
Сыр Сыробогатов с беконом плавленый  50% БЗМЖ 200г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Сыробогатов с беконом плавленый  50% БЗМЖ 200г.jpeg;Пятерочка
Сыр Тысяча Озер Сливочный нарезка 50% БЗМЖ 125г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Тысяча Озер Сливочный нарезка 50% БЗМЖ 125г.jpeg;Пятерочка
Сыр творожный Almette сливочный 60% БЗМЖ 150г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр творожный Almette сливочный 60% БЗМЖ 150г.jpeg;Пятерочка
Сыр Galbani Моцарелла 45% БЗМЖ 125г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Galbani Моцарелла 45% БЗМЖ 125г.jpeg;Пятерочка
Сыр Dolce Granto Пармезан тертый 40% БЗМЖ 150г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Dolce Granto Пармезан тертый 40% БЗМЖ 150г.jpeg;Пятерочка
Сыр Belster Parmesan нарезка 40% БЗМЖ 135г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Belster Parmesan нарезка 40% БЗМЖ 135г.jpeg;Пятерочка
Сыр полутвердый Брест-Литовск Российский 50% БЗМЖ 200г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр полутвердый Брест-Литовск Российский 50% БЗМЖ 200г.jpeg;Пятерочка
Сыр Брест-Литовск Монастырский 45% БЗМЖ 200г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Брест-Литовск Монастырский 45% БЗМЖ 200г.jpeg;Пятерочка
Сыр твёрдый LiebenDorf Голландский тертый 45% БЗМЖ 200г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр твёрдый LiebenDorf Голландский тертый 45% БЗМЖ 200г.jpeg;Пятерочка
Сыр Белебеевский Классический полутвердый 45% БЗМЖ 190г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Белебеевский Классический полутвердый 45% БЗМЖ 190г.jpeg;Пятерочка
Сыр Liebendorf Тильзитер 45% БЗМЖ;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Liebendorf Тильзитер 45% БЗМЖ.jpeg;Пятерочка
Сыр Liebendorf Гауда полутвердый 45% БЗМЖ;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Liebendorf Гауда полутвердый 45% БЗМЖ.jpeg;Пятерочка
Сыр плавленый Карат Дружба 45% БЗМЖ 90г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр плавленый Карат Дружба 45% БЗМЖ 90г.jpeg;Пятерочка
Сыр Вкус & Польза Моцарелла шарики 45% БЗМЖ 180г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Вкус & Польза Моцарелла шарики 45% БЗМЖ 180г.jpeg;Пятерочка
Сыр Ламбер 50% БЗМЖ 230г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Ламбер 50% БЗМЖ 230г.jpeg;Пятерочка
Сыр Брест-Литовск маасдам 45% БЗМЖ 200г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Брест-Литовск маасдам 45% БЗМЖ 200г.jpeg;Пятерочка
Сыр Савушкин Воздушный сливочный творожный 60% БЗМЖ 150г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Савушкин Воздушный сливочный творожный 60% БЗМЖ 150г.jpeg;Пятерочка
Сыр творожный Экомилк 60% БЗМЖ 400г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр творожный Экомилк 60% БЗМЖ 400г.jpeg;Пятерочка
Сыр Hochland Сливочный плавленый 55% БЗМЖ 200г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Hochland Сливочный плавленый 55% БЗМЖ 200г.jpeg;Пятерочка
