name;price;discount;rating;date_added;store
Сыр Excelsior Sardo 45% БЗМЖ 180г;269.99;;;2025-03-28;Пятерочка
Сыр Hochland С ветчиной плавленый 55% БЗМЖ 200г;175.99;;;2025-03-28;Пятерочка
Сыр Тысяча Озер Сливочный нарезка 50% БЗМЖ 125г;176.99;;;2025-03-26;Пятерочка
Сыр LiebenDorf Маасдам полутвердый нарезка БЗМЖ 150г;189.99;;;2025-03-26;Пятерочка
Фета Sveza нежная 45% БЗМЖ 250г;199.99;;;2025-03-26;Пятерочка
Сыр Natura Сливочный 45% БЗМЖ 400г;449.99;;;2025-03-26;Пятерочка
Сыр плавленый копченый Город сыра Гурманский нарезка 40% БЗМЖ 150г;112.99;;;2025-03-28;Пятерочка
Сыр Liebendorf Эдам полутвердый 45% БЗМЖ;84.99;;;2025-03-28;Пятерочка
Сыр Савушкин Воздушный сливочный творожный 60% БЗМЖ 150г;99.99;;;2025-03-26;Пятерочка
Сыр Grandblu Сливочный с голубой плесенью 56% БЗМЖ 100г;239.99;;;2025-03-28;Пятерочка
Сыр Вкус & Польза Рикотта 45% БЗМЖ 180г;122.99;;;2025-03-28;Пятерочка
Сыр Белебеевский Классический полутвердый 45% БЗМЖ 190г;184.99;;;2025-03-26;Пятерочка
Сыр Emandhof Hard extra 40% БЗМЖ;174.4;;;2025-03-28;Пятерочка
Сыр Excelsior Sardo 45% БЗМЖ 180г;269.99;;;2025-03-26;Пятерочка
Сыр Liebendorf Маасдам полутвердый 45% БЗМЖ;123.08;;;2025-03-28;Пятерочка
Сыр Liebendorf Эдам полутвердый 45% БЗМЖ;84.99;;;2025-03-26;Пятерочка
Сыр Вкус & Польза Голландский 45% БЗМЖ;114.9;;;2025-03-28;Пятерочка
Сыр Вкус & Польза Буррата мягкий 50% БЗМЖ 380г;289.99;;;2025-03-26;Пятерочка
Сыр Ларец с грецкими орехами 45% БЗМЖ 245г;269.99;;;2025-03-28;Пятерочка
Сыр Брест-Литовск маасдам 45% БЗМЖ 200г;239.99;;;2025-03-28;Пятерочка
Сыр Тысяча озер Легкий нарезка БЗМЖ 15% 125г;144.99;;;2025-03-28;Пятерочка
Сыр Delissir Хоритаки плавленый 30% БЗМЖ 180г;135.99;;;2025-03-28;Пятерочка
Сыр Violette Сливочный творожный 70% БЗМЖ 140г;109.99;;;2025-03-26;Пятерочка
Сыр полутвердый Брест-Литовск Российский 50% БЗМЖ 200г;175.99;;;2025-03-28;Пятерочка
Сыр Liebendorf Гауда полутвердый 45% БЗМЖ;79.99;;;2025-03-26;Пятерочка
Сыр Радость вкуса Топленочка с фенугреком 45% БЗМЖ 180г;229.99;;;2025-03-26;Пятерочка
Сыр Emandhof Hard extra 40% БЗМЖ;134.99;;;2025-03-26;Пятерочка
Сыр творожный Viola Сливочный 70% БЗМЖ 140г;124.99;;;2025-03-28;Пятерочка
Сыр Тысяча озер Легкий нарезка БЗМЖ 15% 125г;189.99;;;2025-03-26;Пятерочка
Сыр Viola плавленый сливочный 50% БЗМЖ 400г;279.99;;;2025-03-28;Пятерочка
Сыр Сыробогатов Для бургера плавленый слайсы 25% БЗМЖ 112г;119.99;;;2025-03-28;Пятерочка
Пармезан Trattoria di Maestro Turatti твердый 40% БЗМЖ;164.9;;;2025-03-26;Пятерочка
Сыр Cheese Gallery Маасдам нарезка 45% БЗМЖ 125г;226.99;;;2025-03-26;Пятерочка
Сыр Сыробогатов Дружба плавленый 50% БЗМЖ 80г;71.49;;;2025-03-26;Пятерочка
Сыр творожный Viola Сливочный 70% БЗМЖ 140г;119.99;;;2025-03-26;Пятерочка
Сыр La Paulina Чеддер твердый 48% БЗМЖ 180г;299.99;;;2025-03-26;Пятерочка
Сыр полутвердый ЭкоНива Тильзитер 50% БЗМЖ 400г;425.59;;;2025-03-28;Пятерочка
Сыр Hochland Ассорти сливочный, с ветчиной, с грибами плавленый 55% БЗМЖ 140г;114.99;;;2025-03-28;Пятерочка
Сыр Hochland Сливочный плавленый 55% БЗМЖ 200г;175.99;;;2025-03-28;Пятерочка
Сыр Сыробогатов с беконом плавленый  50% БЗМЖ 200г;169.99;;;2025-03-28;Пятерочка
Сыр Вкус & Польза Моцарелла шарики 45% БЗМЖ 180г;129.99;;;2025-03-26;Пятерочка
Сыр творожный Экомилк 60% БЗМЖ 400г;269.99;;;2025-03-26;Пятерочка
Сыр Oldenburger с грецким орехом полутвердый нарезка 45% БЗМЖ 125г;199.99;;;2025-03-28;Пятерочка
Сыр Умалат Сулугуни молодой слоистый 45% БЗМЖ 200г;240.99;;;2025-03-28;Пятерочка
Сыр Радость вкуса Топленочка 45% БЗМЖ 180г;180.99;;;2025-03-28;Пятерочка
Сыр Савушкин Sveza Моцарелла мягкий 45% БЗМЖ 250г;103.99;;;2025-03-28;Пятерочка
Сыр Grandblu Сливочный с голубой плесенью 56% БЗМЖ 100г;219.99;;;2025-03-26;Пятерочка
Сыр Liebendorf Тильзитер твердый нарезка 48% БЗМЖ 150г;129.99;;;2025-03-28;Пятерочка
Сыр Vitalat Перлини копченый 40% БЗМЖ 100г;169.99;;;2025-03-28;Пятерочка
Сыр Liebendorf Тильзитер твердый нарезка 48% БЗМЖ 150г;129.99;;;2025-03-26;Пятерочка
Сыр творожный Almette с зеленью 60% БЗМЖ 150г;159.99;;;2025-03-28;Пятерочка
Сыр плавленый Viola с лисичками 50% БЗМЖ 200г;179.99;;;2025-03-26;Пятерочка
Сыр Свежий Ряд Косичка копченый 40% БЗМЖ 100г;144.99;;;2025-03-26;Пятерочка
Сыр Hochland Грюнландер полутвердый 50% БЗМЖ 400г;409.99;;;2025-03-26;Пятерочка
Сыр Pretto Моцарелла для бутербродов 45% БЗМЖ 200г;219.99;;;2025-03-26;Пятерочка
Сыр творожный Hochland с маринованными огурцами 60% БЗМЖ 140г;159.99;;;2025-03-28;Пятерочка
Пармезан Dolce Granto 40% БЗМЖ 200г;249.99;;;2025-03-26;Пятерочка
Сыр Брест-Литовск маасдам 45% БЗМЖ 200г;219.99;;;2025-03-26;Пятерочка
Пармезан Dolce Granto 40% БЗМЖ 200г;249.99;;;2025-03-28;Пятерочка
Сыр Pretto маскарпоне 80% БЗМЖ 250г;363.99;;;2025-03-26;Пятерочка
Сыр полутвердый Брест-Литовск Российский 50% БЗМЖ 200г;175.99;;;2025-03-26;Пятерочка
Сыр Ларец с грецкими орехами 45% БЗМЖ 245г;329.99;;;2025-03-26;Пятерочка
Сыр Hochland Grunlander Чеддер полутвердый нарезка 50% БЗМЖ 130г;189.99;;;2025-03-26;Пятерочка
Сыр Liebendorf с грибами плавленый 55% БЗМЖ 400г;249.99;;;2025-03-26;Пятерочка
Сыр Pretto Моцарелла для бутербродов 45% БЗМЖ 200г;199.99;;;2025-03-28;Пятерочка
Сыр творожный Hochland с маринованными огурцами 60% БЗМЖ 140г;159.99;;;2025-03-26;Пятерочка
Сыр Экомилк творожный 60% 350г;299.99;;;2025-03-26;Пятерочка
Сыр Liebendorf Тильзитер 45% БЗМЖ;104.9;;;2025-03-28;Пятерочка
Сыр President Камамбер мягкий с белой плесенью 45% БЗМЖ 125г;363.99;;;2025-03-26;Пятерочка
Сыр Радость вкуса Веселый Роджер 20% БЗМЖ 160г;129.99;;;2025-03-28;Пятерочка
Сыр Gruyere твердый 49% БЗМЖ;329.9;;;2025-03-26;Пятерочка
Сыр Умалат Сулугуни палочки 45% БЗМЖ 120г;149.99;;;2025-03-26;Пятерочка
Сыр Hochland Сливочный плавленый 55% БЗМЖ 400г;359.99;;;2025-03-28;Пятерочка
Сыр Liebendorf Сливочный плавленый пастообразный 55% БЗМЖ 400г;249.99;;;2025-03-28;Пятерочка
Сыр Радость вкуса Топленочка 45% БЗМЖ 180г;180.99;;;2025-03-26;Пятерочка
Сыр творожный Almette с огурцами и зеленью 60% БЗМЖ 150г;159.99;;;2025-03-26;Пятерочка
Сыр Сыробогатов Швейцарский 45% БЗМЖ 180г;199.99;;;2025-03-26;Пятерочка
Сыр творожный Hochland овощи-гриль 60% БЗМЖ 140г;103.99;;;2025-03-26;Пятерочка
Сыр Viola Маасдам полутвердый 45% БЗМЖ 180г;237.99;;;2025-03-28;Пятерочка
Сыр Вкус & Польза Голландский 45% БЗМЖ;114.9;;;2025-03-26;Пятерочка
Сыр Тысяча Озер легкий 15% БЗМЖ 200г;203.99;;;2025-03-28;Пятерочка
Сыр плавленый Hochland Сэндвич ломтики 45% БЗМЖ 150г;119.99;;;2025-03-26;Пятерочка
Сыр Ламбер Гурмэ 55% БЗМЖ 230г;399.99;;;2025-03-26;Пятерочка
Сыр Савушкин Воздушный сливочный творожный 60% БЗМЖ 150г;103.99;;;2025-03-28;Пятерочка
Сыр Свежий Ряд Косичка копченый 40% БЗМЖ 100г;159.99;;;2025-03-28;Пятерочка
Сыр плавленый копченый Город сыра Гурманский нарезка 40% БЗМЖ 150г;129.99;;;2025-03-26;Пятерочка
Сыр Ламбер 50% БЗМЖ 230г;349.99;;;2025-03-28;Пятерочка
Сыр Свежий Ряд Чечил спагетти копченый БЗМЖ 100г;179.99;;;2025-03-28;Пятерочка
Сыр Violette Лосось творожный 70% БЗМЖ 140г;129.99;;;2025-03-26;Пятерочка
Сыр Dolce Granto Пармезан тертый 40% БЗМЖ 150г;227.99;;;2025-03-26;Пятерочка
Сыр Фетакса без рассола 45% БЗМЖ 200г;143.99;;;2025-03-26;Пятерочка
Сыр Montarell Бри мягкий 60% БЗМЖ 125г;199.99;;;2025-03-28;Пятерочка
Сыр Вкус & Польза Рикотта 45% БЗМЖ 180г;122.99;;;2025-03-26;Пятерочка
Сыр Сиртаки Classic рассольный 35% БЗМЖ 330г;224.99;;;2025-03-28;Пятерочка
Сыр Sambiel с голубой плесенью 50% БЗМЖ 100г;187.99;;;2025-03-28;Пятерочка
Сыр La Paulina Гойя 40% БЗМЖ;268.79;;;2025-03-28;Пятерочка
Сыр Oldenburger с грецким орехом полутвердый нарезка 45% БЗМЖ 125г;169.99;;;2025-03-26;Пятерочка
Сыр Радость вкуса Веселый Роджер 20% БЗМЖ 160г;129.99;;;2025-03-26;Пятерочка
Сыр Liebendorf Маасдам полутвердый 45% БЗМЖ;99.99;;;2025-03-26;Пятерочка
Сыр Ламбер 50% БЗМЖ 230г;349.99;;;2025-03-26;Пятерочка
